dataset,entry_title*,survey,start_time,end_time,project,description,platform,platformtype,pulsetype,RAW_files,WORK_files,LSSS_files,GRIDDED_files,CALIBRATION_file,METADATA_files,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
D2015001,Tank measurements on Cod Eggs and Larvae,,2015,,,"Tank measurements on single targets in 200 kHz FM. Calibrated and Bio sampling done. Good data collection log. stereo GoPro camera	Rokas: stereo gopro for egg density
",AUSTEVOLL,Tank,,<<server location unknown. Rokas has a disc copy>>/data/crimac/E2015001/ACOUSTIC/EK80/EK80_RAWDATA/,,,<CRIMACscratch>/<year>/<dataset>_<platform>/ACOUSTIC/GRID/,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,CC-BY 4.0,CC-BY 4.0,Ocean>Atlantic Ocean>North Atlantic Ocean,,,,,,,,,,
D2015002,In situ measurements on Cod eggs and larvae from a towed body,,2015,,,Broadband data (260-460 kHz) on cod egg agregations post spawning in Lofoten. Collected using a 333 transducer pointing upwards towards sea surface,NSOCRUSADER,METAS Towed body,,/data/cruise_data/2015/S2015001_PNSOCRUSADER/OBSERVATION_PLATFORMS/TOWBODY/EK80,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2015003,In situ measurements on Cod eggs and larvae from a surface buoy (Deployment 1),,2015,,,Rokas: 260-460kHz data on cod egg agregations post spawning. Lofoten. 333 transducer pointing upwards towards sea surface. Some singe track data on presumed eggs in situ,NSOCRUSADER,METAS Buoy,,/data/cruise_data/2015/S2015001_PNSOCRUSADER/OBSERVATION_PLATFORMS/LANDER/DEPLOYMENT001/EK80,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2015004,In situ measurements on Cod eggs and larvae from a surface buoy (Deployment 2),,2015,,,Rokas: 260-460kHz data on cod egg agregations post spawning. Lofoten. 333 transducer pointing upwards towards sea surface. Some singe track data on presumed eggs in situ,NSOCRUSADER,METAS Buoy,,/data/cruise_data/2015/S2015001_PNSOCRUSADER/OBSERVATION_PLATFORMS/LANDER/DEPLOYMENT002/EK80,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2017001,Artificial targets of flesh-like properites,,2017,,AcoSize,"Rokas: fine scale measurements of BB backscatter of artificial fish-flesh-like targets. 360deg. 45-90kHz, 160-260kHz. Time domain data - published. Frequency domain - not published (want to include in paper with Chu and Svein G. if CRIMAC is not interested)",AUSTEVOLL,,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2018001,Mackerel,,2018,,AcoSize,"Rokas: fine scale measurements of BB backscatter of thethered mackerel. 360 deg. 45-90kHz, 160-260kHz. Bad weather, somewhat noisy. Data is in use for publication, sizing.",AUSTEVOLL,,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019001,MESSOR data set st 118,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/118,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019002,MESSOR data set st 119,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/119,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019003,MESSOR data set st 120,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/120,/data/crimac/2019/D2019003/ACOUSTIC/LSSS,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019004,MESSOR data set st 122,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/122,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019005,MESSOR data set st 124,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/124,/data/crimac/2019/D2019005/ACOUSTIC/LSSS,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019006,MESSOR data set st 126,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/126,/data/crimac/2019/D2019006/ACOUSTIC/LSSS,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019007,MESSOR data set st 127,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/127,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019008,MESSOR data set st 128,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/128,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2019009,MESSOR data set st 129,S2019703,2019,,,Babak: Much FM data on individual mesopelagic fish. 45-260kHz?? Bio sampling - yes?,KRONPRINSHAAKON_9566,MESSOR,,/data/cruise_data/2019/S2019703_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORM/MESSOR/EK80/129,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
